qrCode,batteryId,vendorId,action,status,message
DC-RP210513A01167-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,3DmaKs0AOxIjgJaLbFbH,00150301000010E2,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210508A00751-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,IAAIWnYk2juJc9riyMpY,0015041C00001C79,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210702A00577-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,GyfSj4NNBTTwDkBbQo5s,00150615000000BA,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210630A00889-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,B8XIHi6ZsjBgnTH9Vw3f,0015061300000DC1,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210627A00185-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,YTLq5OmDEhBnpmiprnhV,00150613000002E2,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210628A00405-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,2Ya9PoPCVH8h4O8pL5Al,00150613000012D6,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG210623A04129-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,wcHJS10tBKtHun9YuhpF,0015061300000796,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210624A00263-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,6bYEczYMWTXGKmwZW66A,001506130000017E,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210329A00692-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,kvEvdmqg3Xl4pOd0MxFT,00150113000000FC,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210702A00779-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,nq8LiUAvdPnr5gxMBE1u,0015061500001075,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210306A00107-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,3tHFzoh7rfhoeP9ZTHot,0015030600000CF5,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210406A00606-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,waE8OlZCTX4Ufm0z23ca,001501160000065A,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00804-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,bbJzzUuSvGnMM1qMvsVG,0015040900000AD6,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210309A00211-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Rtb6NZdZdQ6nJ8RLj6Yi,001503060000031B,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210306A00051-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,1TGySslm5e1WfudbFiDK,0015011300000334,Tags hinzufügen,Success,Tag hinzugefügt
