qrCode,batteryId,vendorId,action,status,message
DC-RP210605A00015-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,IN2qy0ij8RbDZvsz9vRY,00150613000007AE,Eingehende Assets,Success,Im Lager
DC-RP210627A00283-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,ldTMhbe5OZSTTrhEuhsP,0015061300000499,Eingehende Assets,Success,Im Lager
DC-RP210513A01229-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,qq9h98RUB6mRJDGVXus0,0015041C000018FB,Eingehende Assets,Success,Im Lager
DC-RP210512A00294-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,OIXzApBDOg26VoU4fPv4,0015041C0000114C,Eingehende Assets,Success,Im Lager
DC-RP210605A00049-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,55FaXQQkuvAtFNCrEUDT,0015061300000810,Eingehende Assets,Success,Im Lager
DC-RP210130A00217-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,uAU2XVqM3hpICgYaTmz9,00140C030000119B,Eingehende Assets,Success,Im Lager
DC-DG210607A04334-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,GF1zlqWgWBF8ttrofSL2,0015060500000C2D,Eingehende Assets,Success,Im Lager
DC-RP210506A00390-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,jcUlth0Zj9fHmQ2sofU1,0015031B000003DD,Eingehende Assets,Success,Im Lager
DC-RP210126A00224-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,mC6oP67ZzWL3ZlSEw5Ji,001501080000062D,Eingehende Assets,Success,Im Lager
DC-RP210130A00695-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,YftFbLI8Qzs3HY72Xfbv,0015010F0000036E,Eingehende Assets,Success,Im Lager
DC-RP210130A00666-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,G1AjGWbc1td2jqd0aWsb,00140C0800000727,Eingehende Assets,Success,Im Lager
DC-RP210201A00570-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,jLPxZJceFbpovOGva8mu,0015010800000A33,Eingehende Assets,Success,Im Lager
DC-DG210607A08672-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,u8yDJcfsORCWNhkomk6G,0015060700000DF7,Eingehende Assets,Success,Im Lager
DC-RP210120A00518-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,7bPEA76Qv2JCjEy0Fz8A,0015010F0000024F,Eingehende Assets,Success,Im Lager
DC-RP210513A01382-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Uzgb8nkY9oT1Hi5LUoPN,0015041E00000711,Eingehende Assets,Success,Im Lager
DC-RP210119A00320-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,KYaZ0hCxjBJLyrBqJdaO,00140C0800000117,Eingehende Assets,Success,Im Lager
DC-RP210201A00564-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,iq2lqTG77CcZbU9pCzzV,0015010800000A0A,Eingehende Assets,Success,Im Lager
DC-RP210530A00788-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,DamWPpc28TgyfKqDXBAZ,0015051000000A47,Eingehende Assets,Success,Im Lager
DC-RP210508A00400-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,4NqY7nSjocWNQG7dtChE,0015041C00000517,Eingehende Assets,Success,Im Lager
DC-RP210201A00158-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,mXusFA56a7M81X0iEjE9,00150108000007C3,Eingehende Assets,Success,Im Lager
DC-RP210303A00679-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,vGIBtX9YGLpzfB1Hmdat,00150113000009AA,Eingehende Assets,Success,Im Lager
DC-RP210125A00134-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,cucK2vGfCL3XnO8dJjf6,001501080000089A,Eingehende Assets,Success,Im Lager
DC-RP210602A01034-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,D0e62SUbWN5z4sq857Gi,00150605000005DD,Eingehende Assets,Success,Im Lager
DC-RP210513A01399-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,0w2ta7iQRgYGk0HrGW55,0015041C00001A8C,Eingehende Assets,Success,Im Lager
DC-RP210513A01666-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,fjhZzIiPM29QOKBPlAGL,001503010000030A,Eingehende Assets,Success,Im Lager
DC-DG210607A06340-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,KOqhKpN1tyA2VZwhS8hF,0015060700000C73,Eingehende Assets,Success,Im Lager
DC-RP210311A00102-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,1S9UF8tV8Xinu9csqbUQ,0015030600000320,Eingehende Assets,Success,Im Lager
DC-RP210705A00768-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,ft19txZDtFjJxbCEAdCE,0015070100000019,Eingehende Assets,Success,Im Lager
DC-RP210201A00163-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,2wVR2QX8LpCyBDMzv9BR,0015010F00000823,Eingehende Assets,Success,Im Lager
DC-RP210225A00435-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,w5bkwklf33IjWlhsp3eo,001501080000019B,Eingehende Assets,Success,Im Lager
DC-RP210627A00389-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,6fbf2SFngYynLU01txHW,001506130000032F,Eingehende Assets,Success,Im Lager
DC-RP210126A00336-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,0hr0gtuoz7XgzcSZ8JH3,0015010800000A3E,Eingehende Assets,Success,Im Lager
DC-RP200710A00223-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,,,Eingehende Assets,Failure,Dies ist kein gültiger Dott QR-Code
DC-RP210525A00216-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,7XpzbuEaLzH4SUrQ3Afu,00150510000006CA,Eingehende Assets,Success,Im Lager
DC-RP210127A00209-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,5zwb1kWHNxCTI6lKKrKL,00140C0300000F63,Eingehende Assets,Success,Im Lager
DC-DG210607A08623-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,aDg6tGgmFFtzrt10hvQM,001506070000074C,Eingehende Assets,Success,Im Lager
DC-DG210607A00567-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,,,Eingehende Assets,Failure,Dies ist kein gültiger Dott QR-Code
DC-RP210122A00547-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,lQPqXYydK8Ivj8D8txAK,00140C080000007F,Eingehende Assets,Success,Im Lager
DC-RP210201A00329-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,AJYd3EsZ5JyxrsfZM1HZ,0015010800000D75,Eingehende Assets,Success,Im Lager
DC-RP210303A00757-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,OfvZ1bHCiEP2Bp2WHiAL,0015011300000A52,Eingehende Assets,Success,Im Lager
DC-RP210131A00402-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,45XnZlUjZnAKG5nEKVPm,00150108000003EC,Eingehende Assets,Success,Im Lager
DC-DG210607A03877-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,Sz31vg6TY3gB5nHW3ZvG,0015060500000B20,Eingehende Assets,Success,Im Lager
DC-RP210227A00307-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,0OfVCYGnPWoUWgAdErG6,0015010800000D8B,Eingehende Assets,Success,Im Lager
