qrCode,batteryId,vendorId,action,status,message
DC-RP210607A00312-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Kr1m6qzhDzD1C5HykC17,001506130000061B,Tag entfernen,Success,Tag entfernt
DC-RP210627A00246-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,RDVuSsX2EQPCNDEuYPKH,0015061200001104,Tag entfernen,Success,Tag entfernt
DC-RP210506A00702-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Dg9pqpxvvBQKJaG7iuvK,0015041C000011C8,Tag entfernen,Success,Tag entfernt
DC-DG210601A01898-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,,,Tag entfernen,Failure,Dies ist kein gültiger Dott QR-Code
DC-RP210130A00275-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,fxEkalm1STHcYaQRobtB,001501080000047D,Tag entfernen,Success,Tag entfernt
DC-RP210311A00562-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,2nrRK0tOREkGAKWLAFpX,0015030B00000218,Tag entfernen,Success,Tag entfernt
DC-RP210627A00074-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,oM7U1q1q0XoCHuycIB2D,0015061200000C2F,Tag entfernen,Success,Tag entfernt
DC-RP210514A00906-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,yUxCwXo2JEp9QURZ5OIZ,0015061400000A54,Tag entfernen,Success,Tag entfernt
DC-RP210406A00028-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,IR2IDlqTQ0INGIhZCth8,001503010000070F,Tag entfernen,Success,Tag entfernt
DC-RP210406A00060-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,CH2iPW5ikE7FQcJPrb8Y,001502170000023F,Tag entfernen,Success,Tag entfernt
DC-RP210225A00167-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,0dfYZKuDjVaGvxuGXb85,001501080000030A,Tag entfernen,Success,Tag entfernt
DC-DG210607A06704-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,GPpcRpf4882EzgpiO5YT,0015061100000271,Tag entfernen,Success,Tag entfernt
DC-RP210311A00272-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,fbo6ZhpxheLebvqmDUgo,0015030600000253,Tag entfernen,Success,Tag entfernt
DC-RP200724A00014-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,,,Tag entfernen,Failure,Dies ist kein gültiger Dott QR-Code
DC-RP210512A01671-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,t6PPXP2m4UOhsXZXRU8J,0015041C00000FDE,Tag entfernen,Success,Tag entfernt
